BBLCOUNT        1.0         0
0xb5cbdadb 1 2 13
0xb5cbda10 1 8 19
0xb5cbdabc 1 5 30
0xb5cbdafe 1 3 12
0xb5cbda41 1 6 18
0xb5cbdafa 1 2 4
0xb5cbda53 1 5 12
0xb5cbda34 1 2 13
0xb5cbda41 0 6 18
0xb5cbda33 0 2 14
0xb5cbda92 1 5 15
0xb5cbda23 1 3 16
0xb5cbdaa1 0 2 4
0xb5cbdb0c 1 2 7
0xb5cbdb8b 1 2 4
0xb5cbdb8f 1 13 44
0xb5cbdb76 1 5 21
0xb5cbdb70 1 2 6
0xb5cbdc05 1 3 5
0xb5cbdbd0 1 2 6
0xb5cbdbd6 1 11 47
0xb5ccc9f9 0 2 5
0xb5ccc9c0 10040 6 13
0xb5ccc9cd 10040 7 28
0xb5ccc9e9 0 3 11
0xb5ccc9f4 0 2 5
0xb5ccc9ef 10040 2 5
0xb5ccc9f4 0 2 5
0xb5ccca50 10040 14 37
0xb5ccca75 10000 6 7
0xb5ccca58 118 12 29
0xb5ccca75 40 6 7
0xb5ccf91b 0 2 9
0xb5ccd14f 10040 5 23
0xb5ccd136 10040 5 25
0xb5ccd166 0 4 20
0xb5ccd436 10040 3 13
0xb5ccd425 20080 4 17
0xb5ccd420 20080 2 5
0xb5ccd120 0 4 22
0xb5ccd115 20080 3 11
0xb5ccd107 20080 3 14
0xb5ccd101 20080 2 6
0xb5ccd0f3 20080 3 14
0xb5ccd0e8 20080 3 11
0xb5ccd401 0 2 15
0xb5ccd3f8 20080 2 9
0xb5ccd0d6 20080 3 11
0xb5ccd0c8 20080 3 14
0xb5ccd085 20080 15 67
0xb5ccd070 20080 9 21
0xb5ccfd5e 0 5 25
0xb5ccf9ba 0 2 15
0xb5ccf9b2 10040 2 8
0xb5ccf98d 10040 8 37
0xb5ccf980 10040 2 13
0xb5ccf941 0 4 20
0xb5ccf931 10040 4 16
0xb5ccf924 0 2 13
0xb5ccf912 10040 2 9
0xb5ccfe24 0 5 25
0xb5ccfe1c 0 3 8
0xb5ccfe0f 10040 2 13
0xb5ccfe4c 10040 4 19
0xb5ccd17a 0 7 27
0xb5ccfd45 10040 2 13
0xb5ccf8f2 0 5 25
0xb5ccf8e6 0 3 12
0xb5ccf8d9 10040 2 13
0xb5ccfe7d 10040 2 15
0xb5ccfd93 0 5 26
0xb5ccfd86 10040 2 13
0xb5ccf8e6 0 3 12
0xb5ccf8d9 0 2 13
0xb5ccf8b0 10040 7 41
0xb5ccedf4 10040 2 15
0xb5ccd1fd 0 6 44
0xb5ccd1f1 40 2 12
0xb5ccd443 10040 2 11
0xb5ccd280 20080 9 18
0xb5ccd25c 0 7 32
0xb5ccd252 10040 3 10
0xb5ccd252 0 3 10
0xb5ccd23e 0 6 20
0xb5ccd237 10040 3 7
0xb5ccd229 10040 3 14
0xb5ccd21b 10040 3 14
0xb5ccfd52 0 3 12
0xb5ccede5 10040 3 15
0xb5ccedd2 10040 4 19
0xb5cceda2 0 3 25
0xb5cced98 10040 3 10
0xb5cced75 10040 9 35
0xb5cced60 10040 4 21
0xb5cced41 10040 6 31
0xb5cced34 10040 2 13
0xb5ccf424 10040 2 11
0xb5ccfe5f 0 2 15
0xb5ccd4b8 10040 4 27
0xb5cd00a4 10040 5 15
0xb5cd2337 10040 2 7
0xb5cd2322 10040 4 21
0xb5cd00b3 0 5 27
0xb5cd0095 0 8 30
0xb5cd0085 10040 3 16
0xb5ccf77d 0 8 42
0xb5ccf75a 0 10 35
0xb5ccf747 10040 3 19
0xb5ccd351 10040 16 145
0xb5ccd2e5 10040 3 14
0xb5ccd2f3 10040 15 94
0xb5ccf895 0 2 9
0xb5ccd2d7 10040 3 14
0xb5ccd2c9 10040 3 14
0xb5ccd2ba 10040 3 15
0xb5ccd298 10040 5 34
0xb5ccd1fd 0 6 44
0xb5ccd1f1 10000 2 12
0xb5ccd1ba 10040 11 55
0xb5cd00b3 0 5 27
0xb5ccf875 10040 7 32
0xb5ccf843 10040 12 50
0xb5ccf81e 0 2 9
0xb5ccf815 10040 2 9
0xb5ccf805 10040 4 16
0xb5cd0179 0 4 16
0xb5cd016c 10040 2 13
0xb5cd015f 10040 2 13
0xb5cd239a 0 6 28
0xb5cd238d 10040 2 13
0xb5cd016c 0 2 13
0xb5cd00ce 0 2 9
0xb5cd00b5 10040 4 25
0xb5cd00ce 0 2 9
0xb5cd00d7 0 2 9
0xb5cd015f 0 2 13
0xb5cd014c 10040 3 19
0xb5cd0116 10040 11 54
0xb5cd27fa 10040 7 29
0xb5cd2857 10040 7 13
0xb5cd2833 0 7 36
0xb5cd282f 10040 2 4
0xb5cd2893 10040 1 2
0xb5cd288a 10040 2 9
0xb5cd2889 0 2 10
0xb5cd2878 10040 3 17
0xb5cd2868 10040 6 16
0xb5cd2833 0 7 36
0xb5cd282f 0 2 4
0xb5cd2817 10040 9 24
0xb5cd26d1 10040 3 12
0xb5cd27d8 10040 9 34
0xb5cd27cf 10040 2 9
0xb5cd27d8 0 9 34
0xb5cd27ce 0 2 10
0xb5cd27bf 10040 3 15
0xb5cd27a8 10040 6 23
0xb5cd278b 10040 6 29
0xb5cd277b 10040 4 16
0xb5cd26c0 10040 7 17
0xb5cd2704 10040 18 119
0xb5cd26f6 10040 3 14
0xb5cd26eb 10040 3 11
0xb5cd26dd 10040 3 14
0xb5cd7a00 10040 8 31
0xb5cd7a1f 10040 2 4
0xb5ced845 161 2 9
0xb5ced87c 161 7 28
0xb5ced7e0 161 7 28
0xb5ced7fc 161 6 25
0xb5ced815 161 3 9
0xb5ced81e 161 6 23
0xb5ced835 161 3 15
0xb5ced844 0 2 10
0xb5ced84e 0 7 22
0xb5ced84e 161 7 22
0xb5ced864 161 3 10
0xb5ced86e 161 3 7
0xb5ced875 0 8 35
0xb5ced8f9 161 2 9
0xb5ced8f0 161 4 9
0xb5ced898 161 6 15
0xb5ced8a7 161 6 16
0xb5ced8b7 0 3 5
0xb5ced910 161 3 17
0xb5ced921 0 2 6
0xb5ced927 0 1 2
0xb5ced922 161 2 5
0xb5ced927 161 1 2
0xb5ced8b8 161 2 4
0xb5ced8bc 0 2 4
0xb5ced8c0 0 11 32
0xb5ced8ca 161 7 22
0xb5ceeec4 1 2 5
0xb5ceeeb2 1 3 17
0xb5ceeea2 1 6 16
0xb5ceee9b 1 3 7
0xb5ceeefb 1 1 2
0xb5ceeee7 1 5 20
0xb5ceeee0 1 3 7
0xb5ceee9b 0 3 7
0xb5ceee94 1 3 7
0xb5ceee8e 1 2 6
0xb5ceeec9 1 6 20
0xb5ceee00 1 5 20
0xb5ceee59 1 16 53
0xb5ceee14 1 8 29
0xb5ceee31 1 4 15
0xb5ceee40 1 3 15
0xb5ceee50 1 2 9
0xb5cf081c 10005 2 5
0xb5cf080a 10005 3 17
0xb5cf07fa 10005 6 16
0xb5cf0837 10005 4 18
0xb5cf07c2 10005 2 9
0xb5cf07f3 10005 3 7
0xb5cf07b2 10005 3 15
0xb5cf0849 10005 2 4
0xb5cf07a3 10005 4 15
0xb5cf077c 10005 10 39
0xb5cf0821 10005 7 22
